timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1781509198169,4160,Ingreso Usuario,200,OK,Ingreso-usuarios-muebles 1-37,text,true,,538,336,200,200,https://compumuebles-sabana-api.cyk.com.co/api/auth/login,4160,0,204
1781509198253,4076,Ingreso Usuario,200,OK,Ingreso-usuarios-muebles 1-46,text,true,,538,336,200,200,https://compumuebles-sabana-api.cyk.com.co/api/auth/login,4076,0,225
1781509197864,4466,Ingreso Usuario,200,OK,Ingreso-usuarios-muebles 1-7,text,true,,538,336,200,200,https://compumuebles-sabana-api.cyk.com.co/api/auth/login,4466,0,176
1781509197895,4439,Ingreso Usuario,200,OK,Ingreso-usuarios-muebles 1-9,text,true,,538,336,200,200,https://compumuebles-sabana-api.cyk.com.co/api/auth/login,4439,0,188
1781509197925,4411,Ingreso Usuario,200,OK,Ingreso-usuarios-muebles 1-13,text,true,,538,336,200,200,https://compumuebles-sabana-api.cyk.com.co/api/auth/login,4411,0,192
1781509197987,4351,Ingreso Usuario,200,OK,Ingreso-usuarios-muebles 1-19,text,true,,538,336,200,200,https://compumuebles-sabana-api.cyk.com.co/api/auth/login,4351,0,183
1781509198018,4322,Ingreso Usuario,200,OK,Ingreso-usuarios-muebles 1-22,text,true,,538,336,200,200,https://compumuebles-sabana-api.cyk.com.co/api/auth/login,4322,0,173
1781509198062,4280,Ingreso Usuario,200,OK,Ingreso-usuarios-muebles 1-26,text,true,,538,336,200,200,https://compumuebles-sabana-api.cyk.com.co/api/auth/login,4280,0,165
1781509198078,4264,Ingreso Usuario,200,OK,Ingreso-usuarios-muebles 1-27,text,true,,538,336,200,200,https://compumuebles-sabana-api.cyk.com.co/api/auth/login,4264,0,202
1781509198123,4223,Ingreso Usuario,200,OK,Ingreso-usuarios-muebles 1-32,text,true,,538,336,200,200,https://compumuebles-sabana-api.cyk.com.co/api/auth/login,4223,0,187
1781509198184,4165,Ingreso Usuario,200,OK,Ingreso-usuarios-muebles 1-39,text,true,,538,336,200,200,https://compumuebles-sabana-api.cyk.com.co/api/auth/login,4165,0,188
1781509198214,4143,Ingreso Usuario,200,OK,Ingreso-usuarios-muebles 1-42,text,true,,538,336,200,200,https://compumuebles-sabana-api.cyk.com.co/api/auth/login,4143,0,175
1781509198274,4090,Ingreso Usuario,200,OK,Ingreso-usuarios-muebles 1-48,text,true,,538,336,200,200,https://compumuebles-sabana-api.cyk.com.co/api/auth/login,4090,0,206
1781509198245,14817,Ingreso Usuario,200,OK,Ingreso-usuarios-muebles 1-44,text,true,,538,336,200,200,https://compumuebles-sabana-api.cyk.com.co/api/auth/login,14817,0,230
1781509198363,14706,Ingreso Usuario,200,OK,Ingreso-usuarios-muebles 1-57,text,true,,538,336,200,200,https://compumuebles-sabana-api.cyk.com.co/api/auth/login,14706,0,192
1781509198345,14729,Ingreso Usuario,200,OK,Ingreso-usuarios-muebles 1-55,text,true,,538,336,200,200,https://compumuebles-sabana-api.cyk.com.co/api/auth/login,14729,0,210
